ID,treatment,pregnancy,cohort,food.consumed,kcals.consumed,day,food.cumulative,gest.day,gave.birth
118,eTRF,1,2,4,11.64,20,-323.1554999999999,5,yes
118,eTRF,1,2,3.549999999999997,10.330499999999992,15,-384.70199999999994,0,yes
118,eTRF,1,2,6,17.46,26,-224.7974999999998,11,yes
118,eTRF,1,2,5.099999999999966,14.840999999999902,33,-66.49349999999967,18,yes
118,eTRF,1,2,6.5,18.915,25,-242.25749999999977,10,yes
118,eTRF,1,2,4.099999999999994,11.930999999999983,3,-537.186,-12,yes
118,eTRF,1,2,6.300000000000011,18.333000000000034,1,18.333000000000034,-14,yes
118,eTRF,1,2,4.699999999999989,13.676999999999968,7,-474.039,-8,yes
118,eTRF,1,2,5.200000000000017,15.132000000000051,22,-293.47349999999983,7,yes
118,eTRF,1,2,3.4000000000000057,9.894000000000018,10,-435.33599999999996,-5,yes
118,eTRF,1,2,6.800000000000011,19.788000000000036,6,-487.71599999999995,-9,yes
118,eTRF,1,2,5.199999999999989,15.131999999999968,9,-445.22999999999996,-6,yes
118,eTRF,1,2,4.900000000000006,14.259000000000018,5,-507.50399999999996,-10,yes
118,eTRF,1,2,8.900000000000034,25.8990000000001,30,-136.62449999999959,15,yes
118,eTRF,1,2,8.200000000000045,23.862000000000133,29,-162.52349999999967,14,yes
118,eTRF,1,2,3.5,10.185,11,-425.15099999999995,-4,yes
118,eTRF,1,2,10.100000000000023,29.39100000000007,32,-81.33449999999957,17,yes
118,eTRF,1,2,3.4000000000000057,9.894000000000018,14,-395.0324999999999,-1,yes
118,eTRF,1,2,6.600000000000023,19.206000000000067,27,-205.5914999999997,12,yes
118,eTRF,1,2,8.899999999999977,25.898999999999933,31,-110.72549999999964,16,yes
118,eTRF,1,2,4.75,13.822500000000002,16,-370.8794999999999,1,yes
118,eTRF,1,2,4,11.64,17,-359.2394999999999,2,yes
118,eTRF,1,2,4.400000000000006,12.804000000000018,19,-334.7954999999999,4,yes
118,eTRF,1,2,3.3500000000000085,9.748500000000025,12,-415.4024999999999,-3,yes
118,eTRF,1,2,3.5999999999999943,10.475999999999983,13,-404.9264999999999,-2,yes
118,eTRF,1,2,4,11.64,18,-347.5994999999999,3,yes
118,eTRF,1,2,5.300000000000011,15.423000000000034,23,-278.05049999999983,8,yes
118,eTRF,1,2,5.300000000000011,15.423000000000034,4,-521.763,-11,yes
118,eTRF,1,2,6.599999999999966,19.2059999999999,28,-186.3854999999998,13,yes
118,eTRF,1,2,5,14.55,21,-308.6054999999999,6,yes
118,eTRF,1,2,5.800000000000011,16.878000000000036,24,-261.1724999999998,9,yes
118,eTRF,1,2,4.700000000000017,13.677000000000051,8,-460.3619999999999,-7,yes
118,eTRF,1,2,-195,-567.45,2,-549.117,-13,yes
119,eTRF,1,2,4.050000000000011,11.785500000000035,16,340.6155,4,yes
119,eTRF,1,2,5.800000000000011,16.878000000000036,26,466.9094999999999,14,yes
119,eTRF,1,2,54.44999999999999,158.44949999999997,15,328.8299999999999,3,yes
119,eTRF,1,2,4.199999999999989,12.221999999999968,25,450.0314999999999,13,yes
