ID,age,animal.id,MouseID,Sex,Genotype,values,assay,experiment.date,treatment,dam,cohort,gram.values
452,164,25739,452,M,+/+,39900,Body Weight,2021-02-09,eTRF,134,2,39.9
452,164,25739,452,M,+/+,11560,Total Fat Mass,2021-02-09,eTRF,134,2,11.56
452,164,25739,452,M,+/+,25760,Lean Mass,2021-02-09,eTRF,134,2,25.76
453,25,25740,453,M,+/+,12600,Body Weight,2020-09-23,eTRF,134,2,12.6
453,25,25740,453,M,+/+,800,Total Fat Mass,2020-09-23,eTRF,134,2,0.8
453,25,25740,453,M,+/+,11010,Lean Mass,2020-09-23,eTRF,134,2,11.01
453,21,25740,453,M,+/+,10000,Body Weight,2020-09-19,eTRF,134,2,10
453,21,25740,453,M,+/+,20,Total Fat Mass,2020-09-19,eTRF,134,2,0.02
453,21,25740,453,M,+/+,8970,Lean Mass,2020-09-19,eTRF,134,2,8.97
453,32,25740,453,M,+/+,20100,Body Weight,2020-09-30,eTRF,134,2,20.1
453,32,25740,453,M,+/+,1390,Total Fat Mass,2020-09-30,eTRF,134,2,1.39
453,32,25740,453,M,+/+,17560,Lean Mass,2020-09-30,eTRF,134,2,17.56
453,39,25740,453,M,+/+,23500,Body Weight,2020-10-07,eTRF,134,2,23.5
453,39,25740,453,M,+/+,1170,Total Fat Mass,2020-10-07,eTRF,134,2,1.17
453,39,25740,453,M,+/+,20570,Lean Mass,2020-10-07,eTRF,134,2,20.57
453,46,25740,453,M,+/+,24700,Body Weight,2020-10-14,eTRF,134,2,24.7
453,46,25740,453,M,+/+,1010,Total Fat Mass,2020-10-14,eTRF,134,2,1.01
453,46,25740,453,M,+/+,21370,Lean Mass,2020-10-14,eTRF,134,2,21.37
453,53,25740,453,M,+/+,26500,Body Weight,2020-10-21,eTRF,134,2,26.5
453,53,25740,453,M,+/+,1710,Total Fat Mass,2020-10-21,eTRF,134,2,1.71
453,53,25740,453,M,+/+,23240,Lean Mass,2020-10-21,eTRF,134,2,23.24
453,60,25740,453,M,+/+,27200,Body Weight,2020-10-28,eTRF,134,2,27.2
453,60,25740,453,M,+/+,1390,Total Fat Mass,2020-10-28,eTRF,134,2,1.39
453,60,25740,453,M,+/+,23730,Lean Mass,2020-10-28,eTRF,134,2,23.73
453,67,25740,453,M,+/+,27600,Body Weight,2020-11-04,eTRF,134,2,27.6
453,67,25740,453,M,+/+,1230,Total Fat Mass,2020-11-04,eTRF,134,2,1.23
453,67,25740,453,M,+/+,24770,Lean Mass,2020-11-04,eTRF,134,2,24.77
453,74,25740,453,M,+/+,28300,Body Weight,2020-11-11,eTRF,134,2,28.3
453,74,25740,453,M,+/+,1220,Total Fat Mass,2020-11-11,eTRF,134,2,1.22
453,74,25740,453,M,+/+,25240,Lean Mass,2020-11-11,eTRF,134,2,25.24
453,81,25740,453,M,+/+,30900,Body Weight,2020-11-18,eTRF,134,2,30.9
453,81,25740,453,M,+/+,3510,Total Fat Mass,2020-11-18,eTRF,134,2,3.51
453,81,25740,453,M,+/+,24410,Lean Mass,2020-11-18,eTRF,134,2,24.41
453,88,25740,453,M,+/+,32600,Body Weight,2020-11-25,eTRF,134,2,32.6
453,88,25740,453,M,+/+,5520,Total Fat Mass,2020-11-25,eTRF,134,2,5.52
453,88,25740,453,M,+/+,24840,Lean Mass,2020-11-25,eTRF,134,2,24.84
453,95,25740,453,M,+/+,33900,Body Weight,2020-12-02,eTRF,134,2,33.9
453,95,25740,453,M,+/+,6080,Total Fat Mass,2020-12-02,eTRF,134,2,6.08
453,95,25740,453,M,+/+,25100,Lean Mass,2020-12-02,eTRF,134,2,25.1
453,102,25740,453,M,+/+,34500,Body Weight,2020-12-09,eTRF,134,2,34.5
453,102,25740,453,M,+/+,7910,Total Fat Mass,2020-12-09,eTRF,134,2,7.91
453,102,25740,453,M,+/+,24820,Lean Mass,2020-12-09,eTRF,134,2,24.82
453,109,25740,453,M,+/+,36000,Body Weight,2020-12-16,eTRF,134,2,36
453,109,25740,453,M,+/+,9130,Total Fat Mass,2020-12-16,eTRF,134,2,9.13
453,109,25740,453,M,+/+,25800,Lean Mass,2020-12-16,eTRF,134,2,25.8
453,116,25740,453,M,+/+,36700,Body Weight,2020-12-23,eTRF,134,2,36.7
453,116,25740,453,M,+/+,8940,Total Fat Mass,2020-12-23,eTRF,134,2,8.94
453,116,25740,453,M,+/+,25270,Lean Mass,2020-12-23,eTRF,134,2,25.27
453,128,25740,453,M,+/+,37200,Body Weight,2021-01-04,eTRF,134,2,37.2
453,128,25740,453,M,+/+,10190,Total Fat Mass,2021-01-04,eTRF,134,2,10.19
453,128,25740,453,M,+/+,24670,Lean Mass,2021-01-04,eTRF,134,2,24.67
453,136,25740,453,M,+/+,38200,Body Weight,2021-01-12,eTRF,134,2,38.2
453,136,25740,453,M,+/+,10140,Total Fat Mass,2021-01-12,eTRF,134,2,10.14
453,136,25740,453,M,+/+,25620,Lean Mass,2021-01-12,eTRF,134,2,25.62
453,143,25740,453,M,+/+,39700,Body Weight,2021-01-19,eTRF,134,2,39.7
453,143,25740,453,M,+/+,12290,Total Fat Mass,2021-01-19,eTRF,134,2,12.29
453,143,25740,453,M,+/+,25240,Lean Mass,2021-01-19,eTRF,134,2,25.24
453,150,25740,453,M,+/+,40900,Body Weight,2021-01-26,eTRF,134,2,40.9
453,150,25740,453,M,+/+,10620,Total Fat Mass,2021-01-26,eTRF,134,2,10.62
453,150,25740,453,M,+/+,25140,Lean Mass,2021-01-26,eTRF,134,2,25.14
453,157,25740,453,M,+/+,41900,Body Weight,2021-02-02,eTRF,134,2,41.9
453,157,25740,453,M,+/+,13690,Total Fat Mass,2021-02-02,eTRF,134,2,13.69
453,157,25740,453,M,+/+,25380,Lean Mass,2021-02-02,eTRF,134,2,25.38
453,164,25740,453,M,+/+,42700,Body Weight,2021-02-09,eTRF,134,2,42.7
453,164,25740,453,M,+/+,14020,Total Fat Mass,2021-02-09,eTRF,134,2,14.02
453,164,25740,453,M,+/+,26170,Lean Mass,2021-02-09,eTRF,134,2,26.17
454,25,25741,454,F,+/+,10900,Body Weight,2020-09-23,eTRF,134,2,10.9
454,25,25741,454,F,+/+,860,Total Fat Mass,2020-09-23,eTRF,134,2,0.86
454,25,25741,454,F,+/+,9040,Lean Mass,2020-09-23,eTRF,134,2,9.04
454,21,25741,454,F,+/+,9100,Body Weight,2020-09-19,eTRF,134,2,9.1
454,21,25741,454,F,+/+,950,Total Fat Mass,2020-09-19,eTRF,134,2,0.95
454,21,25741,454,F,+/+,6900,Lean Mass,2020-09-19,eTRF,134,2,6.9
454,32,25741,454,F,+/+,14600,Body Weight,2020-09-30,eTRF,134,2,14.6
454,32,25741,454,F,+/+,1320,Total Fat Mass,2020-09-30,eTRF,134,2,1.32
454,32,25741,454,F,+/+,12260,Lean Mass,2020-09-30,eTRF,134,2,12.26
454,39,25741,454,F,+/+,16900,Body Weight,2020-10-07,eTRF,134,2,16.9
454,39,25741,454,F,+/+,1690,Total Fat Mass,2020-10-07,eTRF,134,2,1.69
454,39,25741,454,F,+/+,13480,Lean Mass,2020-10-07,eTRF,134,2,13.48
454,46,25741,454,F,+/+,17400,Body Weight,2020-10-14,eTRF,134,2,17.4
454,46,25741,454,F,+/+,1880,Total Fat Mass,2020-10-14,eTRF,134,2,1.88
454,46,25741,454,F,+/+,13770,Lean Mass,2020-10-14,eTRF,134,2,13.77
454,53,25741,454,F,+/+,18000,Body Weight,2020-10-21,eTRF,134,2,18
454,53,25741,454,F,+/+,2010,Total Fat Mass,2020-10-21,eTRF,134,2,2.01
454,53,25741,454,F,+/+,14470,Lean Mass,2020-10-21,eTRF,134,2,14.47
454,60,25741,454,F,+/+,18700,Body Weight,2020-10-28,eTRF,134,2,18.7
454,60,25741,454,F,+/+,1580,Total Fat Mass,2020-10-28,eTRF,134,2,1.58
454,60,25741,454,F,+/+,15100,Lean Mass,2020-10-28,eTRF,134,2,15.1
454,67,25741,454,F,+/+,18200,Body Weight,2020-11-04,eTRF,134,2,18.2
454,67,25741,454,F,+/+,1810,Total Fat Mass,2020-11-04,eTRF,134,2,1.81
454,67,25741,454,F,+/+,14320,Lean Mass,2020-11-04,eTRF,134,2,14.32
454,74,25741,454,F,+/+,18800,Body Weight,2020-11-11,eTRF,134,2,18.8
454,74,25741,454,F,+/+,1040,Total Fat Mass,2020-11-11,eTRF,134,2,1.04
454,74,25741,454,F,+/+,16110,Lean Mass,2020-11-11,eTRF,134,2,16.11
454,81,25741,454,F,+/+,20800,Body Weight,2020-11-18,eTRF,134,2,20.8
454,81,25741,454,F,+/+,2680,Total Fat Mass,2020-11-18,eTRF,134,2,2.68
454,81,25741,454,F,+/+,16110,Lean Mass,2020-11-18,eTRF,134,2,16.11
454,88,25741,454,F,+/+,21800,Body Weight,2020-11-25,eTRF,134,2,21.8
454,88,25741,454,F,+/+,3630,Total Fat Mass,2020-11-25,eTRF,134,2,3.63
454,88,25741,454,F,+/+,16090,Lean Mass,2020-11-25,eTRF,134,2,16.09
454,95,25741,454,F,+/+,20900,Body Weight,2020-12-02,eTRF,134,2,20.9
454,95,25741,454,F,+/+,2790,Total Fat Mass,2020-12-02,eTRF,134,2,2.79
454,95,25741,454,F,+/+,16060,Lean Mass,2020-12-02,eTRF,134,2,16.06
454,102,25741,454,F,+/+,21800,Body Weight,2020-12-09,eTRF,134,2,21.8
454,102,25741,454,F,+/+,2550,Total Fat Mass,2020-12-09,eTRF,134,2,2.55
454,102,25741,454,F,+/+,17090,Lean Mass,2020-12-09,eTRF,134,2,17.09
454,109,25741,454,F,+/+,23200,Body Weight,2020-12-16,eTRF,134,2,23.2
454,109,25741,454,F,+/+,2850,Total Fat Mass,2020-12-16,eTRF,134,2,2.85
454,109,25741,454,F,+/+,18150,Lean Mass,2020-12-16,eTRF,134,2,18.15
454,116,25741,454,F,+/+,22200,Body Weight,2020-12-23,eTRF,134,2,22.2
454,116,25741,454,F,+/+,2790,Total Fat Mass,2020-12-23,eTRF,134,2,2.79
454,116,25741,454,F,+/+,17450,Lean Mass,2020-12-23,eTRF,134,2,17.45
454,128,25741,454,F,+/+,27200,Body Weight,2021-01-04,eTRF,134,2,27.2
454,128,25741,454,F,+/+,6570,Total Fat Mass,2021-01-04,eTRF,134,2,6.57
454,128,25741,454,F,+/+,18830,Lean Mass,2021-01-04,eTRF,134,2,18.83
