cage,ID,glucose,time,dam,cohort,treatment,sex,rel.glucose
2008,8588,233,0,7829,1,AL,male,100
2008,8588,360,15,7829,1,AL,male,154.50643776824035
2008,8588,312,30,7829,1,AL,male,133.90557939914163
2008,8588,313,45,7829,1,AL,male,134.33476394849785
2008,8588,274,60,7829,1,AL,male,117.59656652360515
2008,8588,267,75,7829,1,AL,male,114.5922746781116
2008,8588,268,90,7829,1,AL,male,115.0214592274678
2008,8588,239,105,7829,1,AL,male,102.57510729613735
2008,8588,248,120,7829,1,AL,male,106.43776824034335
2008,8589,229,0,7829,1,AL,male,100
2008,8589,379,15,7829,1,AL,male,165.50218340611355
2008,8589,330,30,7829,1,AL,male,144.1048034934498
2008,8589,297,45,7829,1,AL,male,129.6943231441048
2008,8589,253,60,7829,1,AL,male,110.48034934497817
2008,8589,292,75,7829,1,AL,male,127.5109170305677
2008,8589,197,90,7829,1,AL,male,86.02620087336244
2008,8589,223,105,7829,1,AL,male,97.37991266375546
2008,8589,235,120,7829,1,AL,male,102.62008733624455
2008,8601,245,0,7827,1,AL,male,100
2008,8601,374,15,7827,1,AL,male,152.65306122448982
2008,8601,389,30,7827,1,AL,male,158.77551020408163
2008,8601,340,45,7827,1,AL,male,138.77551020408163
2008,8601,337,60,7827,1,AL,male,137.55102040816328
2008,8601,287,75,7827,1,AL,male,117.14285714285715
2008,8601,254,90,7827,1,AL,male,103.6734693877551
2008,8601,282,105,7827,1,AL,male,115.10204081632654
2008,8601,250,120,7827,1,AL,male,102.04081632653062
2010,8592,283,0,7864,1,eTRF,male,100
2010,8592,410,15,7864,1,eTRF,male,144.87632508833923
2010,8592,418,30,7864,1,eTRF,male,147.70318021201413
2010,8592,414,45,7864,1,eTRF,male,146.28975265017667
2010,8592,423,60,7864,1,eTRF,male,149.46996466431096
2010,8592,412,75,7864,1,eTRF,male,145.58303886925793
2010,8592,408,90,7864,1,eTRF,male,144.1696113074205
2010,8592,309,105,7864,1,eTRF,male,109.18727915194346
2010,8592,314,120,7864,1,eTRF,male,110.95406360424028
2010,8593,334,0,7864,1,eTRF,male,100
2010,8593,496,15,7864,1,eTRF,male,148.50299401197603
2010,8593,493,30,7864,1,eTRF,male,147.60479041916167
2010,8593,473,45,7864,1,eTRF,male,141.61676646706587
2010,8593,417,60,7864,1,eTRF,male,124.8502994011976
2010,8593,444,75,7864,1,eTRF,male,132.93413173652695
2010,8593,386,90,7864,1,eTRF,male,115.56886227544909
2010,8593,413,105,7864,1,eTRF,male,123.65269461077844
2010,8593,335,120,7864,1,eTRF,male,100.2994011976048
2010,8596,295,0,7826,1,eTRF,male,100
2010,8596,442,15,7826,1,eTRF,male,149.83050847457628
2010,8596,326,30,7826,1,eTRF,male,110.50847457627117
2010,8596,303,45,7826,1,eTRF,male,102.71186440677967
2010,8596,306,60,7826,1,eTRF,male,103.72881355932205
2010,8596,274,75,7826,1,eTRF,male,92.88135593220339
2010,8596,261,90,7826,1,eTRF,male,88.47457627118645
2010,8596,263,105,7826,1,eTRF,male,89.15254237288136
2010,8596,231,120,7826,1,eTRF,male,78.30508474576271
2010,8597,281,0,7826,1,eTRF,male,100
2010,8597,421,15,7826,1,eTRF,male,149.8220640569395
2010,8597,390,30,7826,1,eTRF,male,138.7900355871886
2010,8597,425,45,7826,1,eTRF,male,151.24555160142347
2010,8597,384,60,7826,1,eTRF,male,136.65480427046265
2010,8597,390,75,7826,1,eTRF,male,138.7900355871886
2010,8597,360,90,7826,1,eTRF,male,128.11387900355874
2010,8597,287,105,7826,1,eTRF,male,102.13523131672598
2010,8597,262,120,7826,1,eTRF,male,93.23843416370107
2009,8602,239,0,7827,1,AL,female,100
2009,8602,320,15,7827,1,AL,female,133.89121338912133
2009,8602,199,30,7827,1,AL,female,83.26359832635984
2009,8602,208,45,7827,1,AL,female,87.02928870292888
2009,8602,214,60,7827,1,AL,female,89.5397489539749
2009,8602,174,75,7827,1,AL,female,72.80334728033473
2009,8602,177,90,7827,1,AL,female,74.05857740585773
2009,8602,189,105,7827,1,AL,female,79.07949790794979
2009,8602,198,120,7827,1,AL,female,82.84518828451883
2009,8603,163,0,7827,1,AL,female,100
2009,8603,283,15,7827,1,AL,female,173.61963190184048
2009,8603,265,30,7827,1,AL,female,162.57668711656441
2009,8603,254,45,7827,1,AL,female,155.82822085889572
2009,8603,248,60,7827,1,AL,female,152.1472392638037
2009,8603,228,75,7827,1,AL,female,139.8773006134969
2009,8603,225,90,7827,1,AL,female,138.03680981595093
2009,8603,263,105,7827,1,AL,female,161.34969325153375
2009,8603,215,120,7827,1,AL,female,131.90184049079755
2009,8591,209,0,7829,1,AL,female,100
2009,8591,236,15,7829,1,AL,female,112.91866028708132
2009,8591,232,30,7829,1,AL,female,111.00478468899522
2009,8591,221,45,7829,1,AL,female,105.74162679425838
2009,8591,179,60,7829,1,AL,female,85.64593301435407
2009,8591,198,75,7829,1,AL,female,94.73684210526315
2009,8591,204,90,7829,1,AL,female,97.60765550239235
2009,8591,207,105,7829,1,AL,female,99.04306220095694
2009,8591,186,120,7829,1,AL,female,88.99521531100478
2009,8590,204,0,7829,1,AL,female,100
2009,8590,256,15,7829,1,AL,female,125.49019607843137
