cage,ID,time,glucose,crash,dam,cohort,treatment,sex,rel.glucose
2008,8588,0,214,no,7829,1,AL,male,100
2008,8588,15,118,no,7829,1,AL,male,55.140186915887845
2008,8588,30,107,no,7829,1,AL,male,50
2008,8588,45,84,no,7829,1,AL,male,39.25233644859813
2008,8588,60,75,no,7829,1,AL,male,35.046728971962615
2008,8588,75,73,no,7829,1,AL,male,34.112149532710276
2008,8588,90,83,no,7829,1,AL,male,38.78504672897196
2008,8588,105,109,no,7829,1,AL,male,50.93457943925234
2008,8588,120,134,no,7829,1,AL,male,62.616822429906534
2008,8589,0,251,no,7829,1,AL,male,100
2008,8589,15,166,no,7829,1,AL,male,66.13545816733067
2008,8589,30,115,no,7829,1,AL,male,45.81673306772908
2008,8589,45,94,no,7829,1,AL,male,37.45019920318725
2008,8589,60,88,no,7829,1,AL,male,35.0597609561753
2008,8589,75,79,no,7829,1,AL,male,31.47410358565737
2008,8589,90,86,no,7829,1,AL,male,34.26294820717131
2008,8589,105,88,no,7829,1,AL,male,35.0597609561753
2008,8589,120,107,no,7829,1,AL,male,42.62948207171315
2008,8601,0,283,no,7827,1,AL,male,100
2008,8601,15,239,no,7827,1,AL,male,84.45229681978799
2008,8601,30,149,no,7827,1,AL,male,52.65017667844523
2008,8601,45,137,no,7827,1,AL,male,48.409893992932865
2008,8601,60,137,no,7827,1,AL,male,48.409893992932865
2008,8601,75,130,no,7827,1,AL,male,45.936395759717314
2008,8601,90,139,no,7827,1,AL,male,49.11660777385159
2008,8601,105,160,no,7827,1,AL,male,56.53710247349824
2008,8601,120,179,no,7827,1,AL,male,63.25088339222616
2009,8603,0,261,yes,7827,1,AL,female,100
2009,8603,15,72,yes,7827,1,AL,female,27.586206896551722
2009,8603,30,79,yes,7827,1,AL,female,30.268199233716476
2009,8603,45,55,yes,7827,1,AL,female,21.0727969348659
2009,8603,60,30,yes,7827,1,AL,female,11.494252873563218
2009,8603,75,25,yes,7827,1,AL,female,9.578544061302683
2009,8603,90,0,yes,7827,1,AL,female,0
2009,8603,105,0,yes,7827,1,AL,female,0
2009,8603,120,0,yes,7827,1,AL,female,0
2009,8602,0,204,no,7827,1,AL,female,100
2009,8602,15,88,no,7827,1,AL,female,43.13725490196079
2009,8602,30,71,no,7827,1,AL,female,34.80392156862745
2009,8602,45,41,no,7827,1,AL,female,20.098039215686274
2009,8602,60,32,no,7827,1,AL,female,15.686274509803921
2009,8602,75,25,no,7827,1,AL,female,12.254901960784313
2009,8602,90,29,no,7827,1,AL,female,14.215686274509803
2009,8602,105,23,no,7827,1,AL,female,11.27450980392157
2009,8602,120,21,no,7827,1,AL,female,10.294117647058822
2009,8590,0,174,yes,7829,1,AL,female,100
2009,8590,15,88,yes,7829,1,AL,female,50.57471264367817
2009,8590,30,53,yes,7829,1,AL,female,30.45977011494253
2009,8590,45,44,yes,7829,1,AL,female,25.287356321839084
2009,8590,60,31,yes,7829,1,AL,female,17.81609195402299
2009,8590,75,29,yes,7829,1,AL,female,16.666666666666664
2009,8590,90,23,yes,7829,1,AL,female,13.218390804597702
2009,8590,105,0,yes,7829,1,AL,female,0
2009,8590,120,0,yes,7829,1,AL,female,0
2009,8591,0,178,no,7829,1,AL,female,100
