ID,time,glucose,cage,dam,sex,treatment,cohort
458,0,216,FA-1,128,female,AL,2
458,15,156,FA-1,128,female,AL,2
458,30,128,FA-1,128,female,AL,2
458,45,103,FA-1,128,female,AL,2
458,60,112,FA-1,128,female,AL,2
458,75,132,FA-1,128,female,AL,2
458,90,145,FA-1,128,female,AL,2
458,105,142,FA-1,128,female,AL,2
458,120,159,FA-1,128,female,AL,2
459,0,190,FA-1,128,female,AL,2
459,15,162,FA-1,128,female,AL,2
459,30,120,FA-1,128,female,AL,2
459,45,90,FA-1,128,female,AL,2
459,60,111,FA-1,128,female,AL,2
459,75,117,FA-1,128,female,AL,2
459,90,132,FA-1,128,female,AL,2
459,105,141,FA-1,128,female,AL,2
459,120,125,FA-1,128,female,AL,2
462,0,174,FA-1,146,female,AL,2
462,15,174,FA-1,146,female,AL,2
462,30,193,FA-1,146,female,AL,2
462,45,191,FA-1,146,female,AL,2
462,60,194,FA-1,146,female,AL,2
462,75,233,FA-1,146,female,AL,2
462,90,206,FA-1,146,female,AL,2
462,105,212,FA-1,146,female,AL,2
462,120,218,FA-1,146,female,AL,2
463,0,187,FA-1,146,female,AL,2
463,15,137,FA-1,146,female,AL,2
463,30,124,FA-1,146,female,AL,2
463,45,125,FA-1,146,female,AL,2
463,60,123,FA-1,146,female,AL,2
463,75,132,FA-1,146,female,AL,2
463,90,130,FA-1,146,female,AL,2
463,105,118,FA-1,146,female,AL,2
463,120,111,FA-1,146,female,AL,2
454,0,202,FE-1,134,female,eTRF,2
454,15,108,FE-1,134,female,eTRF,2
454,30,118,FE-1,134,female,eTRF,2
454,45,83,FE-1,134,female,eTRF,2
454,60,93,FE-1,134,female,eTRF,2
454,75,94,FE-1,134,female,eTRF,2
454,90,87,FE-1,134,female,eTRF,2
454,105,96,FE-1,134,female,eTRF,2
454,120,97,FE-1,134,female,eTRF,2
455,0,230,FE-1,134,female,eTRF,2
455,15,163,FE-1,134,female,eTRF,2
455,30,128,FE-1,134,female,eTRF,2
455,45,133,FE-1,134,female,eTRF,2
455,60,133,FE-1,134,female,eTRF,2
455,75,145,FE-1,134,female,eTRF,2
455,90,138,FE-1,134,female,eTRF,2
455,105,141,FE-1,134,female,eTRF,2
455,120,147,FE-1,134,female,eTRF,2
466,0,201,FE-1,124,female,eTRF,2
466,15,129,FE-1,124,female,eTRF,2
466,30,165,FE-1,124,female,eTRF,2
466,45,179,FE-1,124,female,eTRF,2
466,60,190,FE-1,124,female,eTRF,2
466,75,222,FE-1,124,female,eTRF,2
466,90,206,FE-1,124,female,eTRF,2
466,105,189,FE-1,124,female,eTRF,2
466,120,176,FE-1,124,female,eTRF,2
467,0,216,FE-1,124,female,eTRF,2
467,15,100,FE-1,124,female,eTRF,2
467,30,108,FE-1,124,female,eTRF,2
467,45,104,FE-1,124,female,eTRF,2
467,60,101,FE-1,124,female,eTRF,2
467,75,118,FE-1,124,female,eTRF,2
467,90,116,FE-1,124,female,eTRF,2
467,105,119,FE-1,124,female,eTRF,2
467,120,114,FE-1,124,female,eTRF,2
464,0,220,ME-1,124,male,eTRF,2
464,15,186,ME-1,124,male,eTRF,2
464,30,132,ME-1,124,male,eTRF,2
464,45,124,ME-1,124,male,eTRF,2
464,60,123,ME-1,124,male,eTRF,2
464,75,121,ME-1,124,male,eTRF,2
464,90,140,ME-1,124,male,eTRF,2
464,105,131,ME-1,124,male,eTRF,2
464,120,127,ME-1,124,male,eTRF,2
465,0,222,ME-1,124,male,eTRF,2
465,15,182,ME-1,124,male,eTRF,2
465,30,121,ME-1,124,male,eTRF,2
465,45,158,ME-1,124,male,eTRF,2
465,60,158,ME-1,124,male,eTRF,2
465,75,161,ME-1,124,male,eTRF,2
465,90,159,ME-1,124,male,eTRF,2
465,105,188,ME-1,124,male,eTRF,2
465,120,170,ME-1,124,male,eTRF,2
456,0,225,MA-1,128,male,AL,2
456,15,154,MA-1,128,male,AL,2
456,30,166,MA-1,128,male,AL,2
456,45,168,MA-1,128,male,AL,2
456,60,190,MA-1,128,male,AL,2
456,75,192,MA-1,128,male,AL,2
456,90,186,MA-1,128,male,AL,2
456,105,225,MA-1,128,male,AL,2
456,120,213,MA-1,128,male,AL,2
460,0,223,MA-1,146,male,AL,2
460,15,182,MA-1,146,male,AL,2
460,30,140,MA-1,146,male,AL,2
460,45,127,MA-1,146,male,AL,2
460,60,141,MA-1,146,male,AL,2
460,75,145,MA-1,146,male,AL,2
460,90,144,MA-1,146,male,AL,2
460,105,164,MA-1,146,male,AL,2
460,120,156,MA-1,146,male,AL,2
461,0,205,MA-1,146,male,AL,2
461,15,191,MA-1,146,male,AL,2
461,30,181,MA-1,146,male,AL,2
461,45,178,MA-1,146,male,AL,2
461,60,217,MA-1,146,male,AL,2
461,75,207,MA-1,146,male,AL,2
461,90,207,MA-1,146,male,AL,2
461,105,235,MA-1,146,male,AL,2
461,120,292,MA-1,146,male,AL,2
452,0,156,ME-2,134,male,eTRF,2
452,15,130,ME-2,134,male,eTRF,2
452,30,111,ME-2,134,male,eTRF,2
452,45,92,ME-2,134,male,eTRF,2
452,60,90,ME-2,134,male,eTRF,2
452,75,86,ME-2,134,male,eTRF,2
452,90,95,ME-2,134,male,eTRF,2
452,105,101,ME-2,134,male,eTRF,2
452,120,112,ME-2,134,male,eTRF,2
453,0,213,ME-2,134,male,eTRF,2
453,15,148,ME-2,134,male,eTRF,2
453,30,111,ME-2,134,male,eTRF,2
453,45,108,ME-2,134,male,eTRF,2
453,60,118,ME-2,134,male,eTRF,2
453,75,119,ME-2,134,male,eTRF,2
453,90,125,ME-2,134,male,eTRF,2
453,105,125,ME-2,134,male,eTRF,2
453,120,118,ME-2,134,male,eTRF,2
472,0,164,MA-2,123,male,AL,2
472,15,128,MA-2,123,male,AL,2
472,30,140,MA-2,123,male,AL,2
472,45,154,MA-2,123,male,AL,2
472,60,160,MA-2,123,male,AL,2
472,75,156,MA-2,123,male,AL,2
472,90,191,MA-2,123,male,AL,2
472,105,186,MA-2,123,male,AL,2
472,120,156,MA-2,123,male,AL,2
473,0,248,MA-2,123,male,AL,2
473,15,163,MA-2,123,male,AL,2
473,30,136,MA-2,123,male,AL,2
473,45,125,MA-2,123,male,AL,2
473,60,126,MA-2,123,male,AL,2
473,75,128,MA-2,123,male,AL,2
473,90,133,MA-2,123,male,AL,2
473,105,140,MA-2,123,male,AL,2
473,120,133,MA-2,123,male,AL,2
468,0,183,MA-2,143,male,AL,2
468,15,148,MA-2,143,male,AL,2
468,30,106,MA-2,143,male,AL,2
468,45,81,MA-2,143,male,AL,2
468,60,79,MA-2,143,male,AL,2
468,75,85,MA-2,143,male,AL,2
468,90,107,MA-2,143,male,AL,2
468,105,106,MA-2,143,male,AL,2
468,120,108,MA-2,143,male,AL,2
469,0,215,MA-2,143,male,AL,2
469,15,155,MA-2,143,male,AL,2
469,30,141,MA-2,143,male,AL,2
469,45,141,MA-2,143,male,AL,2
469,60,101,MA-2,143,male,AL,2
469,75,109,MA-2,143,male,AL,2
469,90,116,MA-2,143,male,AL,2
469,105,124,MA-2,143,male,AL,2
469,120,116,MA-2,143,male,AL,2
474,0,189,FA-2,123,female,AL,2
474,15,164,FA-2,123,female,AL,2
474,30,107,FA-2,123,female,AL,2
474,45,110,FA-2,123,female,AL,2
474,60,110,FA-2,123,female,AL,2
474,75,145,FA-2,123,female,AL,2
474,90,127,FA-2,123,female,AL,2
474,105,130,FA-2,123,female,AL,2
474,120,114,FA-2,123,female,AL,2
475,0,159,FA-2,123,female,AL,2
475,15,184,FA-2,123,female,AL,2
475,30,148,FA-2,123,female,AL,2
475,45,138,FA-2,123,female,AL,2
475,60,134,FA-2,123,female,AL,2
475,75,144,FA-2,123,female,AL,2
475,90,145,FA-2,123,female,AL,2
475,105,151,FA-2,123,female,AL,2
475,120,145,FA-2,123,female,AL,2
470,0,179,FA-2,143,female,AL,2
470,15,128,FA-2,143,female,AL,2
470,30,114,FA-2,143,female,AL,2
470,45,107,FA-2,143,female,AL,2
470,60,110,FA-2,143,female,AL,2
470,75,142,FA-2,143,female,AL,2
470,90,120,FA-2,143,female,AL,2
470,105,119,FA-2,143,female,AL,2
470,120,131,FA-2,143,female,AL,2
471,0,186,FA-2,143,female,AL,2
471,15,88,FA-2,143,female,AL,2
471,30,105,FA-2,143,female,AL,2
471,45,101,FA-2,143,female,AL,2
471,60,95,FA-2,143,female,AL,2
471,75,109,FA-2,143,female,AL,2
471,90,110,FA-2,143,female,AL,2
471,105,119,FA-2,143,female,AL,2
471,120,118,FA-2,143,female,AL,2
