ID,cage,time,glucose,treatment,sex,cohort,dam,rel.glucose
468,MA-2,90,107,AL,male,2,143,58.46994535519126
468,MA-2,105,106,AL,male,2,143,57.92349726775956
468,MA-2,120,108,AL,male,2,143,59.01639344262295
469,MA-2,0,215,AL,male,2,143,100
469,MA-2,15,155,AL,male,2,143,72.09302325581395
469,MA-2,30,141,AL,male,2,143,65.58139534883722
469,MA-2,45,141,AL,male,2,143,65.58139534883722
469,MA-2,60,101,AL,male,2,143,46.97674418604651
469,MA-2,75,109,AL,male,2,143,50.697674418604656
469,MA-2,90,116,AL,male,2,143,53.95348837209303
469,MA-2,105,124,AL,male,2,143,57.674418604651166
469,MA-2,120,116,AL,male,2,143,53.95348837209303
474,FA-2,0,189,AL,female,2,123,100
474,FA-2,15,164,AL,female,2,123,86.77248677248677
474,FA-2,30,107,AL,female,2,123,56.613756613756614
474,FA-2,45,110,AL,female,2,123,58.201058201058196
474,FA-2,60,110,AL,female,2,123,58.201058201058196
474,FA-2,75,145,AL,female,2,123,76.71957671957672
474,FA-2,90,127,AL,female,2,123,67.1957671957672
474,FA-2,105,130,AL,female,2,123,68.78306878306879
474,FA-2,120,114,AL,female,2,123,60.317460317460316
475,FA-2,0,159,AL,female,2,123,100
475,FA-2,15,184,AL,female,2,123,115.72327044025157
475,FA-2,30,148,AL,female,2,123,93.08176100628931
475,FA-2,45,138,AL,female,2,123,86.79245283018868
475,FA-2,60,134,AL,female,2,123,84.27672955974843
475,FA-2,75,144,AL,female,2,123,90.56603773584906
475,FA-2,90,145,AL,female,2,123,91.19496855345912
475,FA-2,105,151,AL,female,2,123,94.9685534591195
475,FA-2,120,145,AL,female,2,123,91.19496855345912
470,FA-2,0,179,AL,female,2,143,100
470,FA-2,15,128,AL,female,2,143,71.50837988826815
470,FA-2,30,114,AL,female,2,143,63.687150837988824
470,FA-2,45,107,AL,female,2,143,59.77653631284916
470,FA-2,60,110,AL,female,2,143,61.452513966480446
470,FA-2,75,142,AL,female,2,143,79.3296089385475
470,FA-2,90,120,AL,female,2,143,67.0391061452514
470,FA-2,105,119,AL,female,2,143,66.4804469273743
470,FA-2,120,131,AL,female,2,143,73.18435754189943
471,FA-2,0,186,AL,female,2,143,100
471,FA-2,15,88,AL,female,2,143,47.31182795698925
471,FA-2,30,105,AL,female,2,143,56.451612903225815
471,FA-2,45,101,AL,female,2,143,54.3010752688172
471,FA-2,60,95,AL,female,2,143,51.075268817204304
471,FA-2,75,109,AL,female,2,143,58.602150537634415
471,FA-2,90,110,AL,female,2,143,59.13978494623656
471,FA-2,105,119,AL,female,2,143,63.97849462365591
471,FA-2,120,118,AL,female,2,143,63.44086021505376
