ID,time,glucose,cage,dam,sex,treatment,cohort
472,90,247,MA-2,123,male,AL,2
472,105,306,MA-2,123,male,AL,2
472,120,158,MA-2,123,male,AL,2
473,0,206,MA-2,123,male,AL,2
473,15,416,MA-2,123,male,AL,2
473,30,368,MA-2,123,male,AL,2
473,45,298,MA-2,123,male,AL,2
473,60,243,MA-2,123,male,AL,2
473,75,257,MA-2,123,male,AL,2
473,90,222,MA-2,123,male,AL,2
473,105,202,MA-2,123,male,AL,2
473,120,190,MA-2,123,male,AL,2
468,0,214,MA-2,143,male,AL,2
468,15,355,MA-2,143,male,AL,2
468,30,409,MA-2,143,male,AL,2
468,45,388,MA-2,143,male,AL,2
468,60,301,MA-2,143,male,AL,2
468,75,277,MA-2,143,male,AL,2
468,90,277,MA-2,143,male,AL,2
468,105,227,MA-2,143,male,AL,2
468,120,249,MA-2,143,male,AL,2
469,0,195,MA-2,143,male,AL,2
469,15,407,MA-2,143,male,AL,2
469,30,395,MA-2,143,male,AL,2
469,45,288,MA-2,143,male,AL,2
469,60,267,MA-2,143,male,AL,2
469,75,226,MA-2,143,male,AL,2
469,90,204,MA-2,143,male,AL,2
469,105,183,MA-2,143,male,AL,2
469,120,185,MA-2,143,male,AL,2
474,0,162,FA-2,123,female,AL,2
474,15,396,FA-2,123,female,AL,2
474,30,332,FA-2,123,female,AL,2
474,45,286,FA-2,123,female,AL,2
474,60,181,FA-2,123,female,AL,2
474,75,174,FA-2,123,female,AL,2
474,90,184,FA-2,123,female,AL,2
474,105,203,FA-2,123,female,AL,2
474,120,196,FA-2,123,female,AL,2
470,0,143,FA-2,143,female,AL,2
470,15,343,FA-2,143,female,AL,2
470,30,400,FA-2,143,female,AL,2
470,45,226,FA-2,143,female,AL,2
470,60,201,FA-2,143,female,AL,2
470,75,192,FA-2,143,female,AL,2
470,90,191,FA-2,143,female,AL,2
470,105,175,FA-2,143,female,AL,2
470,120,168,FA-2,143,female,AL,2
471,0,195,FA-2,143,female,AL,2
471,15,336,FA-2,143,female,AL,2
471,30,342,FA-2,143,female,AL,2
471,45,302,FA-2,143,female,AL,2
471,60,225,FA-2,143,female,AL,2
471,75,196,FA-2,143,female,AL,2
471,90,219,FA-2,143,female,AL,2
471,105,225,FA-2,143,female,AL,2
471,120,227,FA-2,143,female,AL,2
