ID,treatment,pregnancy,cohort,gave.birth,date,estrus.stage,estrous.num
121,eTRF,1,2,no,2020-07-23,E,3
121,eTRF,1,2,no,2020-08-03,P,2
121,eTRF,1,2,no,2020-07-31,D,1
121,eTRF,1,2,no,2020-08-09,M,1
121,eTRF,1,2,no,2020-08-10,P,2
121,eTRF,1,2,no,2020-07-26,D,1
121,eTRF,1,2,no,2020-07-27,E,3
121,eTRF,1,2,no,2020-07-28,E,3
121,eTRF,1,2,no,2020-07-29,M,1
121,eTRF,1,2,no,2020-07-07,D,1
121,eTRF,1,2,no,2020-07-22,M,1
121,eTRF,1,2,no,2020-08-01,D,1
121,eTRF,1,2,no,2020-08-05,E,3
121,eTRF,1,2,no,2020-07-03,P,2
121,eTRF,1,2,no,2020-08-07,M,1
121,eTRF,1,2,no,2020-07-21,P,2
121,eTRF,1,2,no,2020-07-20,D,1
121,eTRF,1,2,no,2020-07-01,M,1
121,eTRF,1,2,no,2020-07-04,P,2
121,eTRF,1,2,no,2020-07-02,P,2
121,eTRF,1,2,no,2020-07-24,M,1
121,eTRF,1,2,no,2020-07-18,E,3
121,eTRF,1,2,no,2020-07-14,E,3
121,eTRF,1,2,no,2020-06-30,E,3
121,eTRF,1,2,no,2020-08-06,E,3
121,eTRF,1,2,no,2020-07-16,P,2
121,eTRF,1,2,no,2020-08-02,D,1
121,eTRF,1,2,no,2020-08-08,D,1
121,eTRF,1,2,no,2020-07-17,P,2
121,eTRF,1,2,no,2020-07-25,D,1
121,eTRF,1,2,no,2020-07-15,P,2
122,AL,1,2,no,2020-07-20,D,1
122,AL,1,2,no,2020-07-24,E,3
122,AL,1,2,no,2020-07-31,D,1
122,AL,1,2,no,2020-07-30,M,1
122,AL,1,2,no,2020-07-26,D,1
122,AL,1,2,no,2020-07-25,M,1
122,AL,1,2,no,2020-08-05,P,2
122,AL,1,2,no,2020-08-09,M,1
122,AL,1,2,no,2020-08-03,D,1
122,AL,1,2,no,2020-07-23,E,3
122,AL,1,2,no,2020-06-30,E,3
122,AL,1,2,no,2020-07-29,E,3
122,AL,1,2,no,2020-08-07,D,1
122,AL,1,2,no,2020-07-01,M,1
122,AL,1,2,no,2020-08-02,P,2
122,AL,1,2,no,2020-07-04,E,3
