food.consumed,kcals.consumed,day,ID,treatment,food.cumulative,pregnancy,gest.day,cohort
1.4000000000000057,4.074000000000017,1,7827,AL,4.074000000000017,1,-8,1
1.8999999999999773,5.528999999999934,1,7829,AL,5.528999999999934,1,-7,1
1.6000000000000227,4.656000000000066,1,7830,AL,4.656000000000066,1,-7,1
2.1999999999999886,6.401999999999967,1,7826,eTRF,6.401999999999967,1,-7,1
3.799999999999983,11.05799999999995,1,7864,eTRF,11.05799999999995,1,-7,1
3.299999999999983,9.60299999999995,1,7835,eTRF,9.60299999999995,1,-15,1
1.5999999999999943,4.655999999999984,1,7833,eTRF,4.655999999999984,1,-12,1
3.5,10.185,1,7843,AL,10.185,2,-17,1
1.200000000000017,3.4920000000000497,1,7863,AL,3.4920000000000497,2,-19,1
2.3000000000000114,6.693000000000033,1,7834,AL,6.693000000000033,2,-21,1
3.200000000000017,9.312000000000051,1,7838,eTRF,9.312000000000051,2,-23,1
2,5.82,1,7841,eTRF,5.82,2,-16,1
2,5.82,1,7822,eTRF,5.82,2,-19,1
4,11.64,1,7862,eTRF,11.64,2,-17,1
7.300000000000011,21.243000000000034,1,119,eTRF,21.243000000000034,1,-11,2
6.300000000000011,18.333000000000034,1,118,eTRF,18.333000000000034,1,-14,2
4.299999999999983,12.51299999999995,1,124,eTRF,12.51299999999995,1,-8,2
2,5.82,1,134,eTRF,5.82,1,-12,2
1.1000000000000227,3.2010000000000662,1,143,AL,3.2010000000000662,1,-12,2
1.3000000000000114,3.7830000000000332,1,123,AL,3.7830000000000332,1,-13,2
2.3000000000000114,6.693000000000033,1,128,AL,6.693000000000033,1,-11,2
4.900000000000006,14.259000000000018,1,146,AL,14.259000000000018,1,-9,2
8.599999999999994,25.025999999999986,1,2321,eTRF,25.025999999999986,1,-9,3
7.600000000000023,22.116000000000067,1,2323,AL,22.116000000000067,1,-10,3
1,2.91,1,2324,eTRF,2.91,1,-14,3
24.899999999999977,72.45899999999993,1,2335,AL,72.45899999999993,1,-11,3
16.400000000000006,47.72400000000002,1,2333,eTRF,47.72400000000002,1,-8,3
6,17.46,1,2334,eTRF,17.46,1,-13,3
2.6999999999999886,7.856999999999967,1,2337,AL,7.856999999999967,1,-8,3
2.3000000000000114,6.693000000000033,1,2340,AL,6.693000000000033,1,-14,3
1.3999999999999773,4.073999999999934,2,7827,AL,8.14799999999995,1,-7,1
1.9000000000000057,5.529000000000017,2,7829,AL,11.05799999999995,1,-6,1
1.8000000000000114,5.238000000000033,2,7830,AL,9.8940000000001,1,-6,1
4.5,13.095,2,7826,eTRF,19.496999999999968,1,-6,1
3,8.73,2,7864,eTRF,19.78799999999995,1,-6,1
3.0999999999999943,9.020999999999983,2,7835,eTRF,18.62399999999993,1,-14,1
3.3000000000000114,9.603000000000034,2,7833,eTRF,14.259000000000018,1,-11,1
1.6000000000000227,4.656000000000066,2,7843,AL,14.841000000000067,2,-16,1
1.5999999999999943,4.655999999999984,2,7863,AL,8.148000000000033,2,-18,1
NA,NA,2,7834,AL,NA,2,-20,1
5.699999999999989,16.586999999999968,2,7838,eTRF,25.89900000000002,2,-22,1
6.400000000000006,18.624000000000017,2,7841,eTRF,24.444000000000017,2,-15,1
3.8000000000000114,11.058000000000034,2,7822,eTRF,16.878000000000036,2,-17,1
